=== Evaluation Scores ===

Per-Scene Scores:
  bc7ce58a16724386_00005: psnr=24.5135, ssim= 0.8768, lpips= 0.0943
  c19cc383d575e722_00044: psnr=35.1116, ssim= 0.9673, lpips= 0.0611
  cfa392a515fbe36a_00002: psnr=31.4810, ssim= 0.9555, lpips= 0.0661
  e87c0a291ec4a45d_00004: psnr=32.4703, ssim= 0.9650, lpips= 0.0487
  b352534bdedb50b3_00005: psnr=41.1796, ssim= 0.9872, lpips= 0.0272
  5331fddb30f9132e_00006: psnr=35.3231, ssim= 0.9732, lpips= 0.0391
  52aef823cc9a031c_00020: psnr=32.8436, ssim= 0.9584, lpips= 0.0792
  a6d75912a7fb7e91_00029: psnr=31.9057, ssim= 0.9558, lpips= 0.0726
  374fa34fe701a30d_00002: psnr=38.8786, ssim= 0.9893, lpips= 0.0222
  3dba1838ed366ab5_00017: psnr=36.2742, ssim= 0.9779, lpips= 0.0503
  2341162bce213f2e_00051: psnr=28.9458, ssim= 0.9280, lpips= 0.0727
  cb6b6e325aaafcc9_00033: psnr=37.2451, ssim= 0.9756, lpips= 0.0414
  e5fec092b986596d_00009: psnr=27.9402, ssim= 0.9424, lpips= 0.0743
  11eb02d24a3241a9_00002: psnr=37.2123, ssim= 0.9813, lpips= 0.0384
  d5a254717822d28b_00158: psnr=38.0416, ssim= 0.9695, lpips= 0.0458
  ef1457995bca9afd_00002: psnr=33.4913, ssim= 0.9620, lpips= 0.0475
  14cdf4aa7a2de14b_00011: psnr=24.7934, ssim= 0.8954, lpips= 0.1423
  18c6473be3bd827a_00001: psnr=26.0682, ssim= 0.8388, lpips= 0.0932
  3dc0058dce3828d9_00021: psnr=31.9929, ssim= 0.9695, lpips= 0.0555
  c34b59ec59eb886c_00007: psnr=27.4191, ssim= 0.9168, lpips= 0.0962
  f1cf2e1b45e3c789_00107: psnr=32.2348, ssim= 0.9610, lpips= 0.0712
  a0dda4b2ec17cde1_00021: psnr=22.3463, ssim= 0.7938, lpips= 0.1891
  ee135ea99ddcb32e_00058: psnr=34.4782, ssim= 0.9568, lpips= 0.0562
  8debcd56accec5c3_00008: psnr=34.2936, ssim= 0.9662, lpips= 0.0544
  27382fa047b4681a_00007: psnr=29.4997, ssim= 0.8737, lpips= 0.0961
  c439c3b3d45d651d_00050: psnr=31.9646, ssim= 0.9390, lpips= 0.0793
  127884736471b631_00089: psnr=27.1636, ssim= 0.8114, lpips= 0.1486
  753ccd3da86a8cd8_00088: psnr=21.9002, ssim= 0.8581, lpips= 0.1559
